player_nickname,body_part_name,sub_type_name,x,y,outcome_name,shot_statsbomb_xg,end_x,end_y,technique_name,box
Julián Álvarez,Right Foot,Open Play,105.6,44,Off T,0.07213958,120,31.9,Half Volley,inside
Luis Díaz,Right Foot,Open Play,98.6,25.2,Saved,0.02977089,117.9,37,Normal,outside
Jhon Córdoba,Right Foot,Open Play,105.5,47.3,Post,0.07589752,120,35.9,Half Volley,inside
Carlos Cuesta,Head,Open Play,113.4,38.7,Saved,0.15686217,118.8,38.4,Normal,inside
Lionel Messi,Left Foot,Open Play,106.2,36.8,Blocked,0.15133068,112.1,36.8,Normal,inside
Jhon Córdoba,Head,Open Play,108.3,39,Blocked,0.049562205,109,38.9,Normal,inside
Jefferson Lerma,Right Foot,Open Play,85.6,34.4,Saved,0.015171255,119,37,Normal,outside
Jhon Córdoba,Head,Open Play,112.5,42.5,Blocked,0.08510399,113.3,42.2,Normal,inside
Jhon Arias,Head,Open Play,106.1,32.5,Wayward,0.02531394,118.7,33.6,Normal,inside
Richard,Right Foot,Open Play,83.5,48,Saved,0.006473652,118.4,42.8,Normal,outside
Nicolás Tagliafico,Head,Open Play,108.1,39.3,Off T,0.047531724,120,40.1,Normal,inside
Santiago Arias,Right Foot,Open Play,105.5,57.6,Off T,0.022013947,120,34.7,Half Volley,inside
Ángel Di María,Left Foot,Open Play,110.9,25.6,Saved,0.06569337,111.9,27.2,Normal,inside
Jhon Arias,Right Foot,Open Play,98.9,24.9,Blocked,0.012626733,100.1,25.8,Normal,outside
Davinson Sánchez,Head,Open Play,114.8,44.1,Off T,0.14169177,120,43.9,Normal,inside
Alexis MacAllister,Head,Open Play,107.2,35,Blocked,0.040732585,109.1,35.8,Normal,inside
Ángel Di María,Left Foot,Open Play,107.5,24.9,Saved,0.028598836,117.2,38.3,Normal,inside
Jefferson Lerma,Right Foot,Open Play,88.5,38.1,Off T,0.019570593,120,38.3,Normal,outside
Carlos Cuesta,Head,Open Play,109.6,41.5,Off T,0.056397837,120,50.5,Normal,inside
James Rodríguez,Left Foot,Free Kick,94.8,24.9,Blocked,0.039566465,104.2,29.3,Normal,outside
Nicolás González,Right Foot,Open Play,111.1,42,Off T,0.26291034,120,38.6,Half Volley,inside
Nicolás González,Right Foot,Open Play,110.1,35.3,Saved,0.18526037,119.1,38.9,Normal,inside
Juan Fernando Quintero,Left Foot,Open Play,90.2,41.4,Blocked,0.022356912,91.9,41.4,Normal,outside
Nicolás Tagliafico,Head,Open Play,118.6,31.5,Saved,0.02626014,119.4,36,Normal,inside
Jhon Arias,Right Foot,Open Play,94.3,39.6,Blocked,0.045611396,100.5,40.1,Normal,outside
Miguel Borja,Right Foot,Open Play,108.5,27.6,Blocked,0.05930189,109.3,28.6,Normal,inside
Lautaro Martínez,Right Foot,Open Play,105.5,52.1,Goal,0.19881123,120,37.1,Normal,inside
Mateus Uribe,Right Foot,Open Play,87.6,49,Off T,0.018106721,120,39.6,Normal,outside
Leandro Paredes,Right Foot,Open Play,30.2,42.3,Wayward,0.003432715,102.6,31.3,Lob,outside
Carlos Cuesta,Head,Open Play,113.8,36.7,Wayward,0.10677843,115.2,35.4,Normal,inside
Federico Valverde,Right Foot,Free Kick,90.6,23.8,Blocked,0.008453957,102.6,32.2,Normal,outside
Sebastián Cáceres,Head,Open Play,110.9,37.1,Wayward,0.06594194,113,34.6,Normal,inside
Rodrigo Bentancur,Left Foot,Open Play,113.9,30.9,Goal,0.08248342,120,41.6,Normal,inside
Maximiliano Araújo,Left Foot,Open Play,110.4,27,Saved,0.09942555,117.7,36.8,Normal,inside
Richie Laryea,Right Foot,Open Play,96.8,21.9,Off T,0.008992051,120,47.5,Normal,outside
Moise Bombito,Head,Open Play,111.7,33.7,Wayward,0.050606214,115.4,35.5,Normal,inside
Ismael Koné,Right Foot,Open Play,114.8,36.2,Goal,0.2778801,120,42.2,Volley,inside
Tanitoluwa Oluwaseyi,Left Foot,Open Play,106.3,34.3,Wayward,0.12284655,120,22.4,Volley,inside
Darwin Núñez,Right Foot,Free Kick,99,32.8,Off T,0.08275602,120,37,Normal,outside
Moise Bombito,Head,Open Play,113,50.2,Blocked,0.02644375,113.4,49.6,Normal,inside
Tanitoluwa Oluwaseyi,Head,Open Play,113.2,38.2,Off T,0.38649413,120,46.6,Normal,inside
Jonathan Osorio,Right Foot,Open Play,108.5,41.8,Saved,0.5124609,111.8,40.8,Normal,inside
Jonathan Osorio,Head,Open Play,109.2,42.4,Blocked,0.16309232,118.2,42.7,Normal,inside
Tanitoluwa Oluwaseyi,Right Foot,Open Play,107.4,41.9,Saved,0.3512084,113.7,40.6,Normal,inside
Luc Rollet De Fougerolles,Left Foot,Open Play,112.5,34.2,Blocked,0.061215352,113.7,34.7,Half Volley,inside
Brian Rodríguez,Right Foot,Open Play,109.3,50.2,Blocked,0.13437708,113,45.6,Normal,inside
